HTNO,SUBCODE,EM
169Y1A0111,2001601,51
209Y1A0102,2001601,40
209Y1A0103,2001601,54
209Y1A0104,2001601,47
209Y1A0105,2001601,45
209Y1A0106,2001601,21
209Y1A0107,2001601,58
209Y1A0108,2001601,35
209Y1A0109,2001601,15
209Y1A0110,2001601,37
209Y1A0111,2001601,25
209Y1A0112,2001601,44
209Y1A0113,2001601,26
209Y1A0114,2001601,33
209Y1A0115,2001601,55
209Y1A0116,2001601,46
209Y1A0117,2001601,37
209Y1A0118,2001601,58
209Y1A0119,2001601,42
209Y1A0120,2001601,21
209Y1A0121,2001601,58
209Y1A0122,2001601,53
209Y1A0123,2001601,25
209Y1A0124,2001601,21
209Y1A0125,2001601,31
209Y1A0126,2001601,38
209Y1A0127,2001601,48
209Y1A0128,2001601,22
209Y1A0129,2001601,32
209Y1A0130,2001601,22
209Y1A0131,2001601,42
209Y1A0133,2001601,37
209Y1A0134,2001601,35
209Y1A0135,2001601,8
209Y1A0136,2001601,53
209Y1A0137,2001601,40
209Y1A0138,2001601,22
209Y1A0139,2001601,3
209Y1A0140,2001601,40
209Y1A0141,2001601,53
209Y1A0142,2001601,38
209Y1A0143,2001601,30
209Y1A0144,2001601,22
209Y1A0145,2001601,50
209Y1A0146,2001601,28
209Y1A0147,2001601,38
209Y1A0148,2001601,26
209Y1A0149,2001601,22
209Y1A0150,2001601,22
209Y1A0151,2001601,46
209Y1A0153,2001601,35
209Y1A0155,2001601,41
209Y1A0157,2001601,22
209Y1A0158,2001601,22
209Y1A0159,2001601,21
209Y1A0160,2001601,22
209Y1A0161,2001601,-1
209Y1A0162,2001601,51
209Y1A0163,2001601,30
209Y1A0164,2001601,24
209Y1A0165,2001601,29
209Y1A0167,2001601,23
209Y1A0168,2001601,13
209Y1A0169,2001601,22
209Y1A0170,2001601,45
209Y1A0171,2001601,25
209Y1A0172,2001601,22
209Y1A0173,2001601,21
209Y1A0174,2001601,22
209Y1A0175,2001601,26
209Y1A0176,2001601,39
209Y1A0177,2001601,12
209Y1A0178,2001601,21
209Y1A0179,2001601,31
209Y1A0182,2001601,22
209Y1A0183,2001601,5
209Y1A0184,2001601,35
209Y1A0185,2001601,21
209Y1A0186,2001601,33
209Y1A0187,2001601,21
209Y1A0188,2001601,22
209Y1A0189,2001601,46
209Y1A0191,2001601,26
209Y1A0192,2001601,21
209Y1A0194,2001601,50
209Y1A0195,2001601,22
219Y5A0101,2001601,37
219Y5A0102,2001601,24
219Y5A0103,2001601,34
219Y5A0104,2001601,42
219Y5A0105,2001601,40
219Y5A0106,2001601,33
219Y5A0107,2001601,36
219Y5A0108,2001601,36
219Y5A0109,2001601,34
219Y5A0110,2001601,26
219Y5A0111,2001601,35
219Y5A0112,2001601,38
219Y5A0113,2001601,22
219Y5A0114,2001601,38
219Y5A0115,2001601,30
219Y5A0116,2001601,45
219Y5A0117,2001601,33
219Y5A0118,2001601,23
219Y5A0119,2001601,37
219Y5A0120,2001601,40
219Y5A0121,2001601,31
219Y5A0122,2001601,22
219Y5A0123,2001601,44
219Y5A0124,2001601,37
219Y5A0125,2001601,53
219Y5A0126,2001601,27
219Y5A0127,2001601,31
219Y5A0128,2001601,37
219Y5A0129,2001601,35
219Y5A0130,2001601,50
219Y5A0131,2001601,50
219Y5A0132,2001601,47
219Y5A0133,2001601,37
219Y5A0134,2001601,54
219Y5A0135,2001601,51
219Y5A0136,2001601,40
219Y5A0137,2001601,32
219Y5A0138,2001601,25
219Y5A0139,2001601,48
219Y5A0140,2001601,22
219Y5A0141,2001601,40
219Y5A0142,2001601,48
219Y5A0143,2001601,54
219Y5A0144,2001601,28
219Y5A0145,2001601,52
219Y5A0146,2001601,25
219Y5A0147,2001601,33
219Y5A0148,2001601,47
219Y5A0149,2001601,56
219Y5A0150,2001601,33
219Y5A0151,2001601,35
219Y5A0152,2001601,44
219Y5A0153,2001601,41
219Y5A0154,2001601,30
219Y5A0155,2001601,47
219Y5A0156,2001601,50
219Y5A0157,2001601,42
219Y5A0158,2001601,46
219Y5A0159,2001601,33
219Y5A0161,2001601,48
219Y5A0162,2001601,41
219Y5A0163,2001601,45
219Y5A0164,2001601,51
219Y5A0165,2001601,29
219Y5A0166,2001601,55
219Y5A0167,2001601,43
219Y5A0168,2001601,34
219Y5A0169,2001601,31
219Y5A0170,2001601,44
219Y5A0171,2001601,40
219Y5A0172,2001601,28
219Y5A0173,2001601,38
219Y5A0174,2001601,41
169Y1A0111,2001602,44
209Y1A0102,2001602,41
209Y1A0103,2001602,48
209Y1A0104,2001602,53
209Y1A0105,2001602,52
209Y1A0106,2001602,28
209Y1A0107,2001602,51
209Y1A0108,2001602,41
209Y1A0109,2001602,26
209Y1A0110,2001602,38
209Y1A0111,2001602,40
209Y1A0112,2001602,42
209Y1A0113,2001602,49
209Y1A0114,2001602,45
209Y1A0115,2001602,57
209Y1A0116,2001602,53
209Y1A0117,2001602,40
209Y1A0118,2001602,55
209Y1A0119,2001602,49
209Y1A0120,2001602,38
209Y1A0121,2001602,52
209Y1A0122,2001602,51
209Y1A0123,2001602,37
209Y1A0124,2001602,42
209Y1A0125,2001602,51
209Y1A0126,2001602,44
209Y1A0127,2001602,50
